ks4score,fiveac,fiveem,k3en,k3ma,k3sc,gender,SECshort,hiquamum,singlepar,house,fsm,parasp,computer,tuition,pupasp,homework,attitude,sen,truancy,absent,exclude,IDACI_n,FSMband
722,yes,yes,7,6,6,Female,missing,HE_below_degree_level,no,owned,no,Yes,Yes,Yes,Yes,5_evenings,very_low,No,No,No,No,-2.66234582619127,13pr-21pr
721,yes,yes,7,6,7,Female,Intermediate,HE_below_degree_level,yes,owned,no,Yes,Yes,Yes,Yes,2_evenings,very_low,No,No,No,No,-0.202000653766191,NA
721,yes,yes,6,7,6,Male,Intermediate,No_qualification,no,owned,no,missing,Yes,No,Yes,5_evenings,high,No,No,missing,missing,-0.280399917976951,5pr-9pr
720,yes,yes,7,8,7,Female,Managerial_and_professional,Degree_or_equivalent,yes,owned,no,Yes,Yes,Yes,Yes,4_evenings,low,No,No,No,No,0.14015438250531,5pr-9pr
720,yes,yes,7,6,5,Female,Managerial_and_professional,HE_below_degree_level,no,owned,no,Yes,Yes,No,Yes,2_evenings,low,No,No,No,No,-0.335629476926621,13pr-21pr
720,yes,yes,7,7,7,Male,Managerial_and_professional,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,3_evenings,very_high,No,No,No,No,-2.4626894547289,13pr-21pr
720,yes,yes,6,8,6,Male,Managerial_and_professional,HE_below_degree_level,no,owned,no,Yes,Yes,No,Yes,3_evenings,high,No,No,No,No,-0.520871227759764,13pr-21pr
718.5,yes,yes,6,7,6,Female,"Routine,_semi-routine_or_unemployed",No_qualification,no,owned,no,Yes,Yes,No,Yes,4_evenings,low,No,No,No,No,0.142886442838891,21pr-35pr
718,yes,yes,7,8,7,Female,Managerial_and_professional,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,3_evenings,very_high,No,No,No,No,-0.375803247368967,13pr-21pr
718,yes,yes,7,8,7,Female,Managerial_and_professional,HE_below_degree_level,no,owned,no,Yes,Yes,No,Yes,5_evenings,low,No,No,No,No,1.83435661067798,5pr-9pr
718,yes,yes,6,7,7,Female,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,Yes,Yes,5_evenings,low,No,No,No,No,0.054919879009965,13pr-21pr
718,yes,yes,7,8,7,Male,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,5_evenings,very_low,No,No,No,No,-1.38391764162322,<5pr
718,yes,yes,6,7,7,Male,Managerial_and_professional,GCE_A_Level_or_equivalent,no,owned,no,Yes,Yes,No,Yes,2_evenings,high,No,No,No,No,-1.812546650659,21pr-35pr
717.5,yes,yes,7,8,7,Female,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,Yes,Yes,3_evenings,very_high,No,No,No,No,-1.17495030214694,5pr-9pr
717.5,yes,yes,7,8,7,Male,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,Yes,Yes,3_evenings,very_high,No,No,No,No,-2.42188400815003,<5pr
717.5,yes,yes,7,8,7,Male,Managerial_and_professional,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,4_evenings,missing,No,No,No,No,-0.636409946758027,<5pr
716,yes,yes,6,8,7,Female,missing,GCE_A_Level_or_equivalent,yes,owned,no,Yes,Yes,No,Yes,1_evening,very_high,No,No,No,No,-0.731519381455846,5pr-9pr
716,yes,yes,6,7,7,Female,Intermediate,GCE_A_Level_or_equivalent,no,owned,no,Yes,Yes,No,Yes,1_evening,very_high,No,No,No,No,-1.94628102884053,13pr-21pr
716,yes,no,5,6,5,Female,"Routine,_semi-routine_or_unemployed",No_qualification,no,owned,no,Yes,Yes,No,Yes,2_evenings,high,No,No,No,No,1.31946702170006,21pr-35pr
716,yes,yes,5,6,4,Female,"Routine,_semi-routine_or_unemployed",GCSE_grades_A-C_or_equiv,no,rented,yes,Yes,Yes,No,Yes,none,high,No,Yes,Yes,Yes,0.552570382553187,21pr-35pr
715.25,yes,yes,6,7,7,Female,Intermediate,No_qualification,no,owned,no,Yes,Yes,No,Yes,3_evenings,high,No,No,No,No,0.372475707011747,21pr-35pr
